# path=square5
t,leg,leg_type,true_x,true_y,true_yaw,loc_x,loc_y,loc_yaw,glob_x,glob_y,glob_yaw,odom_x,odom_y,odom_yaw,cum_dist,cum_rot
1785541205.392,1,straight,-0.0147,1.2389,1.58241,-0.0143,1.2640,1.58241,nan,nan,nan,-1.2548,-0.2289,-2.96119,1.3124,1.58241
1785541205.642,1,straight,-0.0160,1.3558,1.58241,-0.0157,1.3855,1.58241,nan,nan,nan,-1.3699,-0.2499,-2.96119,1.4294,1.58241
1785541205.892,1,straight,-0.0173,1.4638,1.58241,-0.0169,1.4890,1.58241,nan,nan,nan,-1.4762,-0.2692,-2.96119,1.5374,1.58241
1785541206.142,1,straight,-0.0187,1.5808,1.58241,-0.0183,1.6105,1.58241,nan,nan,nan,-1.5913,-0.2902,-2.96119,1.6544,1.58241
1785541206.392,1,straight,-0.0199,1.6888,1.58241,-0.0195,1.7140,1.58241,nan,nan,nan,-1.6975,-0.3096,-2.96119,1.7624,1.58241
1785541206.642,1,straight,-0.0213,1.8058,1.58241,-0.0209,1.8355,1.58241,nan,nan,nan,-1.8126,-0.3306,-2.96119,1.8794,1.58241
1785541206.892,1,straight,-0.0225,1.9138,1.58241,-0.0221,1.9390,1.58241,nan,nan,nan,-1.9189,-0.3500,-2.96119,1.9874,1.58241
1785541207.142,1,straight,-0.0239,2.0308,1.58241,-0.0236,2.0605,1.58241,nan,nan,nan,-2.0340,-0.3710,-2.96119,2.1044,1.58241
1785541207.392,1,straight,-0.0251,2.1388,1.58241,-0.0248,2.1640,1.58241,nan,nan,nan,-2.1402,-0.3904,-2.96119,2.2124,1.58241
1785541207.642,1,straight,-0.0265,2.2558,1.58241,-0.0262,2.2855,1.58241,nan,nan,nan,-2.2553,-0.4113,-2.96119,2.3294,1.58241
1785541207.892,1,straight,-0.0278,2.3638,1.58241,-0.0274,2.3890,1.58241,nan,nan,nan,-2.3616,-0.4307,-2.96119,2.4374,1.58241
1785541208.142,1,straight,-0.0291,2.4808,1.58241,-0.0288,2.5105,1.58241,nan,nan,nan,-2.4767,-0.4517,-2.96119,2.5544,1.58241
1785541208.392,1,straight,-0.0304,2.5888,1.58241,-0.0300,2.6140,1.58241,nan,nan,nan,-2.5829,-0.4711,-2.96119,2.6624,1.58241
1785541208.642,1,straight,-0.0317,2.7058,1.58241,-0.0314,2.7354,1.58241,nan,nan,nan,-2.6980,-0.4921,-2.96119,2.7794,1.58241
1785541208.892,1,straight,-0.0330,2.8138,1.58241,-0.0326,2.8389,1.58241,nan,nan,nan,-2.8043,-0.5115,-2.96119,2.8874,1.58241
1785541209.142,1,straight,-0.0342,2.9217,1.58241,-0.0340,2.9604,1.58241,nan,nan,nan,-2.9105,-0.5308,-2.96119,2.9954,1.58241
1785541209.392,1,straight,-0.0356,3.0387,1.58241,-0.0352,3.0639,1.58241,nan,nan,nan,-3.0256,-0.5518,-2.96119,3.1124,1.58241
1785541209.642,1,straight,-0.0369,3.1467,1.58241,-0.0366,3.1854,1.58241,nan,nan,nan,-3.1319,-0.5712,-2.96119,3.2204,1.58241
1785541209.892,1,straight,-0.0382,3.2637,1.58241,-0.0378,3.2889,1.58241,nan,nan,nan,-3.2470,-0.5922,-2.96119,3.3374,1.58241
1785541210.142,1,straight,-0.0395,3.3717,1.58241,-0.0392,3.4104,1.58241,nan,nan,nan,-3.3532,-0.6116,-2.96119,3.4454,1.58241
1785541210.392,1,straight,-0.0408,3.4887,1.58241,-0.0404,3.5139,1.58241,nan,nan,nan,-3.4683,-0.6326,-2.96119,3.5624,1.58241
1785541210.642,1,straight,-0.0421,3.5967,1.58241,-0.0419,3.6354,1.58241,nan,nan,nan,-3.5746,-0.6520,-2.96119,3.6704,1.58241
1785541210.892,1,straight,-0.0434,3.7137,1.58241,-0.0431,3.7389,1.58241,nan,nan,nan,-3.6897,-0.6730,-2.96119,3.7874,1.58241
1785541211.142,1,straight,-0.0447,3.8217,1.58241,-0.0445,3.8604,1.58241,nan,nan,nan,-3.7959,-0.6923,-2.96119,3.8954,1.58241
1785541211.392,1,straight,-0.0461,3.9387,1.58241,-0.0457,3.9639,1.58241,nan,nan,nan,-3.9110,-0.7133,-2.96119,4.0124,1.58241
1785541211.642,1,straight,-0.0473,4.0467,1.58241,-0.0471,4.0854,1.58241,nan,nan,nan,-4.0173,-0.7327,-2.96119,4.1204,1.58241
1785541211.892,1,straight,-0.0487,4.1637,1.58241,-0.0483,4.1888,1.58241,nan,nan,nan,-4.1324,-0.7537,-2.96119,4.2374,1.58241
1785541212.142,1,straight,-0.0499,4.2717,1.58241,-0.0497,4.3103,1.58241,nan,nan,nan,-4.2386,-0.7731,-2.96119,4.3454,1.58241
1785541212.392,1,straight,-0.0513,4.3886,1.58241,-0.0509,4.4138,1.58241,nan,nan,nan,-4.3537,-0.7941,-2.96119,4.4624,1.58241
1785541212.642,1,straight,-0.0525,4.4966,1.58241,-0.0523,4.5353,1.58241,nan,nan,nan,-4.4599,-0.8135,-2.96119,4.5704,1.58241
1785541212.892,1,straight,-0.0539,4.6136,1.58241,-0.0535,4.6388,1.58241,nan,nan,nan,-4.5751,-0.8344,-2.96119,4.6874,1.58241
1785541213.142,1,straight,-0.0551,4.7216,1.58241,-0.0549,4.7603,1.58241,nan,nan,nan,-4.6813,-0.8538,-2.96119,4.7954,1.58241
1785541213.392,1,straight,-0.0565,4.8386,1.58241,-0.0561,4.8638,1.58241,nan,nan,nan,-4.7964,-0.8748,-2.96119,4.9124,1.58241
1785541213.642,1,straight,-0.0578,4.9466,1.58241,-0.0575,4.9853,1.58241,nan,nan,nan,-4.9026,-0.8942,-2.96119,5.0204,1.58241
1785541213.892,2,pause,-0.0581,4.9955,1.58241,-0.0579,5.0132,1.58241,nan,nan,nan,-4.9341,-0.8999,-2.96119,5.0693,1.58241
1785541214.142,2,pause,-0.0581,4.9955,1.58241,-0.0579,5.0132,1.58241,nan,nan,nan,-4.9341,-0.8999,-2.96119,5.0693,1.58241
1785541214.392,2,pause,-0.0581,4.9955,1.58241,-0.0579,5.0132,1.58241,nan,nan,nan,-4.9341,-0.8999,-2.96119,5.0693,1.58241
1785541214.642,2,pause,-0.0581,4.9955,1.58241,-0.0579,5.0132,1.58241,nan,nan,nan,-4.9341,-0.8999,-2.96119,5.0693,1.58241
1785541214.892,2,pause,-0.0581,4.9955,1.58241,-0.0579,5.0132,1.58241,nan,nan,nan,-4.9341,-0.8999,-2.96119,5.0693,1.58241
1785541215.142,2,pause,-0.0581,4.9955,1.58241,-0.0579,5.0132,1.58241,nan,nan,nan,-4.9341,-0.8999,-2.96119,5.0693,1.58241
1785541215.392,3,turn,-0.0581,4.9955,1.60445,-0.0579,5.0132,1.59888,nan,nan,nan,-4.9341,-0.8999,-2.91669,5.0693,1.60445
1785541215.642,3,turn,-0.0581,4.9956,1.67171,-0.0579,5.0132,1.67454,nan,nan,nan,-4.9341,-0.8999,-2.79669,5.0694,1.67171
1785541215.892,3,turn,-0.0581,4.9956,1.74588,-0.0578,5.0132,1.74011,nan,nan,nan,-4.9341,-0.8999,-2.66669,5.0694,1.74588
1785541216.142,3,turn,-0.0581,4.9956,1.81641,-0.0578,5.0132,1.81940,nan,nan,nan,-4.9341,-0.8999,-2.54669,5.0694,1.81641
1785541216.392,3,turn,-0.0581,4.9956,1.89605,-0.0578,5.0132,1.88978,nan,nan,nan,-4.9341,-0.8999,-2.41669,5.0694,1.89605
1785541216.642,3,turn,-0.0581,4.9957,1.97348,-0.0578,5.0132,1.97676,nan,nan,nan,-4.9341,-0.8999,-2.29669,5.0694,1.97348
1785541216.892,3,turn,-0.0581,4.9957,2.05633,-0.0578,5.0132,2.05015,nan,nan,nan,-4.9341,-0.8999,-2.16669,5.0694,2.05633
1785541217.142,3,turn,-0.0581,4.9957,2.12829,-0.0578,5.0132,2.13120,nan,nan,nan,-4.9341,-0.8999,-2.04669,5.0694,2.12829
1785541217.392,3,turn,-0.0581,4.9957,2.20178,-0.0578,5.0132,2.19628,nan,nan,nan,-4.9341,-0.8999,-1.91669,5.0694,2.20178
1785541217.642,3,turn,-0.0581,4.9957,2.26581,-0.0578,5.0132,2.26840,nan,nan,nan,-4.9341,-0.8999,-1.79669,5.0694,2.26581
1785541217.892,3,turn,-0.0581,4.9957,2.33132,-0.0577,5.0132,2.32642,nan,nan,nan,-4.9341,-0.8999,-1.66669,5.0694,2.33132
1785541218.142,3,turn,-0.0581,4.9959,2.39164,-0.0577,5.0132,2.39416,nan,nan,nan,-4.9341,-0.8999,-1.54669,5.0697,2.39164
1785541218.392,3,turn,-0.0581,4.9959,2.45500,-0.0577,5.0132,2.45028,nan,nan,nan,-4.9341,-0.8999,-1.41669,5.0697,2.45500
1785541218.642,3,turn,-0.0581,4.9959,2.50960,-0.0577,5.0132,2.51179,nan,nan,nan,-4.9341,-0.8999,-1.29669,5.0697,2.50960
1785541218.892,3,turn,-0.0581,4.9959,2.56478,-0.0577,5.0132,2.56068,nan,nan,nan,-4.9341,-0.8999,-1.16669,5.0697,2.56478
1785541219.142,3,turn,-0.0581,4.9959,2.61226,-0.0577,5.0132,2.61417,nan,nan,nan,-4.9341,-0.8999,-1.04669,5.0697,2.61226
1785541219.392,3,turn,-0.0581,4.9959,2.66013,-0.0577,5.0132,2.65658,nan,nan,nan,-4.9341,-0.8999,-0.91669,5.0697,2.66013
1785541219.642,3,turn,-0.0581,4.9959,2.70121,-0.0577,5.0132,2.69789,nan,nan,nan,-4.9341,-0.8999,-0.79669,5.0697,2.70121
1785541219.892,3,turn,-0.0581,4.9962,2.74349,-0.0577,5.0132,2.74018,nan,nan,nan,-4.9341,-0.8999,-0.66669,5.0700,2.74349
1785541220.142,3,turn,-0.0581,4.9978,2.78441,-0.0577,5.0132,2.78091,nan,nan,nan,-4.9341,-0.8999,-0.54669,5.0716,2.78441
1785541220.392,3,turn,-0.0581,5.0011,2.83131,-0.0577,5.0132,2.82761,nan,nan,nan,-4.9341,-0.8999,-0.41669,5.0749,2.83131
1785541220.642,3,turn,-0.0581,5.0057,2.87687,-0.0577,5.0132,2.87299,nan,nan,nan,-4.9341,-0.8999,-0.29669,5.0795,2.87687
1785541220.892,3,turn,-0.0581,5.0123,2.92846,-0.0577,5.0132,2.92442,nan,nan,nan,-4.9341,-0.8999,-0.16669,5.0861,2.92846
1785541221.142,3,turn,-0.0581,5.0197,2.97788,-0.0577,5.0133,2.97370,nan,nan,nan,-4.9341,-0.8999,-0.04669,5.0935,2.97788
1785541221.392,3,turn,-0.0581,5.0291,3.03297,-0.0577,5.0133,3.02868,nan,nan,nan,-4.9341,-0.8999,0.08331,5.1028,3.03297
1785541221.642,3,turn,-0.0581,5.0389,3.08484,-0.0577,5.0133,3.08049,nan,nan,nan,-4.9341,-0.8999,0.20331,5.1127,3.08484
1785541221.892,3,turn,-0.0581,5.0506,-3.14155,-0.0577,5.0133,3.13726,nan,nan,nan,-4.9341,-0.8999,0.33331,5.1244,3.14164
1785541222.142,4,pause,-0.0581,5.0556,-3.11796,-0.0577,5.0133,-3.11796,nan,nan,nan,-4.9341,-0.8999,0.38581,5.1294,3.16523
1785541222.392,4,pause,-0.0581,5.0556,-3.11796,-0.0577,5.0133,-3.11796,nan,nan,nan,-4.9341,-0.8999,0.38581,5.1294,3.16523
1785541222.642,4,pause,-0.0581,5.0556,-3.11796,-0.0577,5.0133,-3.11796,nan,nan,nan,-4.9341,-0.8999,0.38581,5.1294,3.16523
1785541222.892,4,pause,-0.0581,5.0556,-3.11796,-0.0577,5.0133,-3.11796,nan,nan,nan,-4.9341,-0.8999,0.38581,5.1294,3.16523
1785541223.142,4,pause,-0.0581,5.0556,-3.11796,-0.0577,5.0133,-3.11796,nan,nan,nan,-4.9341,-0.8999,0.38581,5.1294,3.16523
1785541223.392,4,pause,-0.0581,5.0556,-3.11796,-0.0577,5.0133,-3.11796,nan,nan,nan,-4.9341,-0.8999,0.38581,5.1294,3.16523
1785541223.642,5,straight,-0.0590,5.0556,-3.11796,-0.0579,5.0133,-3.11796,nan,nan,nan,-4.9332,-0.8996,0.38581,5.1303,3.16523
1785541223.892,5,straight,-0.1155,5.0541,-3.11796,-0.1126,5.0121,-3.11796,nan,nan,nan,-4.8734,-0.8753,0.38581,5.1868,3.16523
1785541224.142,5,straight,-0.2207,5.0515,-3.11796,-0.2198,5.0096,-3.11796,nan,nan,nan,-4.7734,-0.8346,0.38581,5.2921,3.16523
1785541224.392,5,straight,-0.3377,5.0488,-3.11796,-0.3368,5.0068,-3.11796,nan,nan,nan,-4.6650,-0.7906,0.38581,5.4091,3.16523
1785541224.642,5,straight,-0.4457,5.0462,-3.11796,-0.4448,5.0043,-3.11796,nan,nan,nan,-4.5649,-0.7500,0.38581,5.5171,3.16523
1785541224.892,5,straight,-0.5626,5.0435,-3.11796,-0.5617,5.0015,-3.11796,nan,nan,nan,-4.4565,-0.7059,0.38581,5.6341,3.16523
1785541225.142,5,straight,-0.6706,5.0409,-3.11796,-0.6697,4.9989,-3.11796,nan,nan,nan,-4.3564,-0.6653,0.38581,5.7421,3.16523
1785541225.392,5,straight,-0.7876,5.0381,-3.11796,-0.7867,4.9961,-3.11796,nan,nan,nan,-4.2480,-0.6213,0.38581,5.8591,3.16523
1785541225.642,5,straight,-0.8956,5.0356,-3.11796,-0.8947,4.9936,-3.11796,nan,nan,nan,-4.1480,-0.5806,0.38581,5.9671,3.16523
1785541225.892,5,straight,-1.0125,5.0328,-3.11796,-1.0116,4.9908,-3.11796,nan,nan,nan,-4.0396,-0.5366,0.38581,6.0841,3.16523
1785541226.142,5,straight,-1.1205,5.0303,-3.11796,-1.1196,4.9883,-3.11796,nan,nan,nan,-3.9395,-0.4960,0.38581,6.1921,3.16523
1785541226.392,5,straight,-1.2375,5.0275,-3.11796,-1.2366,4.9855,-3.11796,nan,nan,nan,-3.8311,-0.4519,0.38581,6.3091,3.16523
1785541226.642,5,straight,-1.3454,5.0250,-3.11796,-1.3445,4.9829,-3.11796,nan,nan,nan,-3.7311,-0.4113,0.38581,6.4171,3.16523
1785541226.892,5,straight,-1.4624,5.0222,-3.11796,-1.4615,4.9802,-3.11796,nan,nan,nan,-3.6227,-0.3673,0.38581,6.5341,3.16523
1785541227.142,5,straight,-1.5704,5.0196,-3.11796,-1.5695,4.9776,-3.11796,nan,nan,nan,-3.5226,-0.3266,0.38581,6.6421,3.16523
1785541227.392,5,straight,-1.6873,5.0169,-3.11796,-1.6864,4.9749,-3.11796,nan,nan,nan,-3.4142,-0.2826,0.38581,6.7591,3.16523
1785541227.642,5,straight,-1.7953,5.0143,-3.11796,-1.7944,4.9723,-3.11796,nan,nan,nan,-3.3141,-0.2420,0.38581,6.8671,3.16523
1785541227.892,5,straight,-1.9123,5.0116,-3.11796,-1.9114,4.9695,-3.11796,nan,nan,nan,-3.2057,-0.1979,0.38581,6.9841,3.16523
1785541228.142,5,straight,-2.0202,5.0090,-3.11796,-2.0194,4.9670,-3.11796,nan,nan,nan,-3.1057,-0.1573,0.38581,7.0921,3.16523
1785541228.392,5,straight,-2.1372,5.0062,-3.11796,-2.1363,4.9642,-3.11796,nan,nan,nan,-2.9973,-0.1133,0.38581,7.2091,3.16523
1785541228.642,5,straight,-2.2452,5.0037,-3.11796,-2.2443,4.9617,-3.11796,nan,nan,nan,-2.8972,-0.0726,0.38581,7.3171,3.16523
1785541228.892,5,straight,-2.3621,5.0009,-3.11796,-2.3613,4.9589,-3.11796,nan,nan,nan,-2.7888,-0.0286,0.38581,7.4341,3.16523
1785541229.142,5,straight,-2.4701,4.9984,-3.11796,-2.4692,4.9564,-3.11796,nan,nan,nan,-2.6887,0.0121,0.38581,7.5421,3.16523
1785541229.392,5,straight,-2.5871,4.9956,-3.11796,-2.5862,4.9536,-3.11796,nan,nan,nan,-2.5803,0.0561,0.38581,7.6591,3.16523
1785541229.642,5,straight,-2.6950,4.9931,-3.11796,-2.6942,4.9510,-3.11796,nan,nan,nan,-2.4803,0.0967,0.38581,7.7671,3.16523
1785541229.892,5,straight,-2.8120,4.9903,-3.11796,-2.8111,4.9483,-3.11796,nan,nan,nan,-2.3719,0.1408,0.38581,7.8841,3.16523
1785541230.142,5,straight,-2.9200,4.9877,-3.11796,-2.9191,4.9457,-3.11796,nan,nan,nan,-2.2718,0.1814,0.38581,7.9921,3.16523
1785541230.392,5,straight,-3.0370,4.9850,-3.11796,-3.0361,4.9430,-3.11796,nan,nan,nan,-2.1634,0.2254,0.38581,8.1091,3.16523
1785541230.642,5,straight,-3.1449,4.9824,-3.11796,-3.1440,4.9404,-3.11796,nan,nan,nan,-2.0634,0.2661,0.38581,8.2171,3.16523
1785541230.892,5,straight,-3.2619,4.9797,-3.11796,-3.2610,4.9376,-3.11796,nan,nan,nan,-1.9550,0.3101,0.38581,8.3341,3.16523
1785541231.142,5,straight,-3.3699,4.9771,-3.11796,-3.3690,4.9351,-3.11796,nan,nan,nan,-1.8549,0.3507,0.38581,8.4421,3.16523
1785541231.392,5,straight,-3.4868,4.9743,-3.11796,-3.4859,4.9323,-3.11796,nan,nan,nan,-1.7465,0.3948,0.38581,8.5591,3.16523
1785541231.642,5,straight,-3.5948,4.9718,-3.11796,-3.5939,4.9298,-3.11796,nan,nan,nan,-1.6464,0.4354,0.38581,8.6671,3.16523
1785541231.892,5,straight,-3.7118,4.9690,-3.11796,-3.7109,4.9270,-3.11796,nan,nan,nan,-1.5380,0.4794,0.38581,8.7841,3.16523
1785541232.142,5,straight,-3.8197,4.9665,-3.11796,-3.8188,4.9245,-3.11796,nan,nan,nan,-1.4380,0.5201,0.38581,8.8921,3.16523
1785541232.392,5,straight,-3.9367,4.9637,-3.11796,-3.9358,4.9217,-3.11796,nan,nan,nan,-1.3296,0.5641,0.38581,9.0091,3.16523
1785541232.642,5,straight,-4.0447,4.9612,-3.11796,-4.0438,4.9191,-3.11796,nan,nan,nan,-1.2295,0.6048,0.38581,9.1171,3.16523
1785541232.892,5,straight,-4.1616,4.9584,-3.11796,-4.1608,4.9164,-3.11796,nan,nan,nan,-1.1211,0.6488,0.38581,9.2341,3.16523
1785541233.142,5,straight,-4.2696,4.9558,-3.11796,-4.2687,4.9138,-3.11796,nan,nan,nan,-1.0211,0.6894,0.38581,9.3421,3.16523
1785541233.392,5,straight,-4.3866,4.9531,-3.11796,-4.3857,4.9111,-3.11796,nan,nan,nan,-0.9127,0.7335,0.38581,9.4591,3.16523
1785541233.642,5,straight,-4.4945,4.9505,-3.11796,-4.4937,4.9085,-3.11796,nan,nan,nan,-0.8126,0.7741,0.38581,9.5671,3.16523
1785541233.892,5,straight,-4.6115,4.9478,-3.11796,-4.6106,4.9057,-3.11796,nan,nan,nan,-0.7042,0.8181,0.38581,9.6841,3.16523
1785541234.142,5,straight,-4.7195,4.9452,-3.11796,-4.7186,4.9032,-3.11796,nan,nan,nan,-0.6041,0.8588,0.38581,9.7921,3.16523
1785541234.392,5,straight,-4.8364,4.9424,-3.11796,-4.8356,4.9004,-3.11796,nan,nan,nan,-0.4957,0.9028,0.38581,9.9091,3.16523
1785541234.642,5,straight,-4.9444,4.9399,-3.11796,-4.9435,4.8979,-3.11796,nan,nan,nan,-0.3957,0.9434,0.38581,10.0171,3.16523
1785541234.893,6,pause,-5.0614,4.9371,-3.11796,-5.0605,4.8951,-3.11796,nan,nan,nan,-0.2873,0.9875,0.38581,10.1341,3.16523
1785541235.142,6,pause,-5.0745,4.9371,-3.11798,-5.0740,4.8948,-3.11798,nan,nan,nan,-0.2856,0.9881,0.38581,10.1472,3.16525
1785541235.392,6,pause,-5.0745,4.9371,-3.11798,-5.0740,4.8948,-3.11798,nan,nan,nan,-0.2856,0.9881,0.38581,10.1472,3.16525
1785541235.642,6,pause,-5.0745,4.9371,-3.11798,-5.0740,4.8948,-3.11798,nan,nan,nan,-0.2856,0.9881,0.38581,10.1472,3.16525
1785541235.892,6,pause,-5.0745,4.9371,-3.11798,-5.0740,4.8948,-3.11798,nan,nan,nan,-0.2856,0.9881,0.38581,10.1472,3.16525
1785541236.142,6,pause,-5.0745,4.9371,-3.11798,-5.0740,4.8948,-3.11798,nan,nan,nan,-0.2856,0.9881,0.38581,10.1472,3.16525
1785541236.392,6,pause,-5.0745,4.9371,-3.11798,-5.0740,4.8948,-3.11798,nan,nan,nan,-0.2856,0.9881,0.38581,10.1472,3.16525
1785541236.642,7,turn,-5.0745,4.9375,-3.09061,-5.0740,4.8948,-3.09495,nan,nan,nan,-0.2856,0.9881,0.45381,10.1476,3.19262
1785541236.892,7,turn,-5.0745,4.9403,-3.03457,-5.0740,4.8948,-3.03885,nan,nan,nan,-0.2856,0.9881,0.58381,10.1504,3.24866
1785541237.142,7,turn,-5.0745,4.9452,-2.98377,-5.0740,4.8948,-2.98796,nan,nan,nan,-0.2856,0.9881,0.70381,10.1554,3.29946
1785541237.392,7,turn,-5.0745,4.9527,-2.92992,-5.0740,4.8948,-2.93404,nan,nan,nan,-0.2856,0.9881,0.83381,10.1629,3.35332
1785541237.642,7,turn,-5.0745,4.9590,-2.88140,-5.0740,4.8948,-2.88538,nan,nan,nan,-0.2856,0.9881,0.95381,10.1692,3.40183
1785541237.892,7,turn,-5.0745,4.9643,-2.83104,-5.0740,4.8948,-2.83483,nan,nan,nan,-0.2856,0.9881,1.08381,10.1745,3.45219
