# path=square5
t,leg,leg_type,true_x,true_y,true_yaw,loc_x,loc_y,loc_yaw,glob_x,glob_y,glob_yaw,odom_x,odom_y,odom_yaw,cum_dist,cum_rot
1785541440.393,1,straight,-0.0115,0.8996,1.58325,-0.0111,0.9202,1.58325,nan,nan,nan,-0.9208,-0.1694,-2.95969,0.9731,1.58325
1785541440.643,1,straight,-0.0129,1.0076,1.58325,-0.0126,1.0417,1.58325,nan,nan,nan,-1.0270,-0.1889,-2.95969,1.0811,1.58325
1785541440.893,1,straight,-0.0143,1.1246,1.58325,-0.0139,1.1452,1.58325,nan,nan,nan,-1.1421,-0.2101,-2.95969,1.1981,1.58325
1785541441.143,1,straight,-0.0157,1.2325,1.58325,-0.0154,1.2667,1.58325,nan,nan,nan,-1.2483,-0.2296,-2.95969,1.3061,1.58325
1785541441.393,1,straight,-0.0171,1.3495,1.58325,-0.0167,1.3702,1.58325,nan,nan,nan,-1.3634,-0.2508,-2.95969,1.4231,1.58325
1785541441.643,1,straight,-0.0185,1.4575,1.58325,-0.0182,1.4917,1.58325,nan,nan,nan,-1.4696,-0.2703,-2.95969,1.5311,1.58325
1785541441.893,1,straight,-0.0199,1.5745,1.58325,-0.0195,1.5952,1.58325,nan,nan,nan,-1.5846,-0.2915,-2.95969,1.6481,1.58325
1785541442.143,1,straight,-0.0213,1.6825,1.58325,-0.0210,1.7167,1.58325,nan,nan,nan,-1.6909,-0.3110,-2.95969,1.7561,1.58325
1785541442.393,1,straight,-0.0227,1.7995,1.58325,-0.0223,1.8202,1.58325,nan,nan,nan,-1.8059,-0.3322,-2.95969,1.8731,1.58325
1785541442.643,1,straight,-0.0241,1.9075,1.58325,-0.0238,1.9417,1.58325,nan,nan,nan,-1.9121,-0.3517,-2.95969,1.9811,1.58325
1785541442.893,1,straight,-0.0255,2.0245,1.58325,-0.0251,2.0452,1.58325,nan,nan,nan,-2.0272,-0.3729,-2.95969,2.0981,1.58325
1785541443.143,1,straight,-0.0269,2.1325,1.58325,-0.0266,2.1667,1.58325,nan,nan,nan,-2.1334,-0.3924,-2.95969,2.2061,1.58325
1785541443.393,1,straight,-0.0283,2.2495,1.58325,-0.0279,2.2702,1.58325,nan,nan,nan,-2.2485,-0.4136,-2.95969,2.3231,1.58325
1785541443.643,1,straight,-0.0297,2.3575,1.58325,-0.0294,2.3916,1.58325,nan,nan,nan,-2.3547,-0.4331,-2.95969,2.4311,1.58325
1785541443.893,1,straight,-0.0311,2.4744,1.58325,-0.0307,2.4951,1.58325,nan,nan,nan,-2.4698,-0.4543,-2.95969,2.5481,1.58325
1785541444.143,1,straight,-0.0325,2.5824,1.58325,-0.0322,2.6166,1.58325,nan,nan,nan,-2.5760,-0.4738,-2.95969,2.6561,1.58325
1785541444.393,1,straight,-0.0339,2.6994,1.58325,-0.0335,2.7201,1.58325,nan,nan,nan,-2.6911,-0.4950,-2.95969,2.7731,1.58325
1785541444.643,1,straight,-0.0353,2.8074,1.58325,-0.0350,2.8416,1.58325,nan,nan,nan,-2.7973,-0.5145,-2.95969,2.8811,1.58325
1785541444.893,1,straight,-0.0367,2.9244,1.58325,-0.0363,2.9451,1.58325,nan,nan,nan,-2.9124,-0.5357,-2.95969,2.9981,1.58325
1785541445.143,1,straight,-0.0381,3.0324,1.58325,-0.0378,3.0666,1.58325,nan,nan,nan,-3.0186,-0.5552,-2.95969,3.1061,1.58325
1785541445.393,1,straight,-0.0395,3.1494,1.58325,-0.0391,3.1701,1.58325,nan,nan,nan,-3.1337,-0.5764,-2.95969,3.2231,1.58325
1785541445.643,1,straight,-0.0409,3.2574,1.58325,-0.0406,3.2916,1.58325,nan,nan,nan,-3.2399,-0.5959,-2.95969,3.3311,1.58325
1785541445.893,1,straight,-0.0423,3.3744,1.58325,-0.0419,3.3951,1.58325,nan,nan,nan,-3.3549,-0.6171,-2.95969,3.4481,1.58325
1785541446.143,1,straight,-0.0437,3.4824,1.58325,-0.0434,3.5166,1.58325,nan,nan,nan,-3.4612,-0.6366,-2.95969,3.5561,1.58325
1785541446.393,1,straight,-0.0451,3.5994,1.58325,-0.0447,3.6200,1.58325,nan,nan,nan,-3.5762,-0.6578,-2.95969,3.6731,1.58325
1785541446.643,1,straight,-0.0465,3.7074,1.58325,-0.0462,3.7415,1.58325,nan,nan,nan,-3.6824,-0.6774,-2.95969,3.7811,1.58325
1785541446.893,1,straight,-0.0479,3.8243,1.58325,-0.0475,3.8450,1.58325,nan,nan,nan,-3.7975,-0.6985,-2.95969,3.8981,1.58325
1785541447.143,1,straight,-0.0493,3.9323,1.58325,-0.0490,3.9665,1.58325,nan,nan,nan,-3.9037,-0.7181,-2.95969,4.0061,1.58325
1785541447.393,1,straight,-0.0507,4.0493,1.58325,-0.0503,4.0700,1.58325,nan,nan,nan,-4.0188,-0.7392,-2.95969,4.1231,1.58325
